DATA	k	p	q	error_length	FP	FN	TP	TN	FPR	Recall
AA	k9_L54	0.1	0.25	8	4035	631	2976	294552	0.575524168086	0.825062355834
AA	k9_L54	0.1	0.5	2	3746	481	421	297546	0.89896806098	0.466740524752
AA	k9_L54	0.1	0.5	8	4086	631	2976	294501	0.578589626471	0.825062355834
AA	k9_L54	0.25	0.1	2	2598	479	423	298694	0.85998011056	0.468957819406
AA	k9_L54	0.25	0.1	8	3203	651	2956	295384	0.520051948043	0.819517581937
AA	k9_L54	0.25	0.25	2	3808	479	423	297484	0.900023613802	0.468957819406
AA	k9_L54	0.25	0.25	8	4214	631	2976	294373	0.586091786007	0.825062355834
AA	k9_L54	0.25	0.5	2	3928	479	423	297364	0.902780949143	0.468957819406
AA	k9_L54	0.25	0.5	8	4301	631	2976	294286	0.591040255723	0.825062355834
AA	k9_L54	0.5	0.1	2	2598	479	423	298694	0.85998011056	0.468957819406
AA	k9_L54	0.5	0.1	8	3203	651	2956	295384	0.520051948043	0.819517581937
AA	k9_L54	0.5	0.25	2	3808	479	423	297484	0.900023613802	0.468957819406
AA	k9_L54	0.5	0.25	8	4214	631	2976	294373	0.586091786007	0.825062355834
AA	k9_L54	0.5	0.5	2	3928	479	423	297364	0.902780949143	0.468957819406
AA	k9_L54	0.5	0.5	8	4301	631	2976	294286	0.591040255723	0.825062355834
AA	k17_Linf	0.1	0.1	2	2816	479	423	298476	0.869404110238	0.468957819406
AA	k17_Linf	0.1	0.1	8	2670	2162	1445	295917	0.648845670745	0.400609914039
AA	k17_Linf	0.1	0.25	2	3521	479	423	297771	0.892748456066	0.468957819406
AA	k17_Linf	0.1	0.25	8	3665	664	2943	294922	0.554630742212	0.815913478905
AA	k17_Linf	0.1	0.5	2	3808	479	423	297484	0.900023613802	0.468957819406
AA	k17_Linf	0.1	0.5	8	4214	631	2976	294373	0.586091786007	0.825062355834
AA	k17_Linf	0.25	0.1	2	2816	479	423	298476	0.869404110238	0.468957819406
AA	k17_Linf	0.25	0.1	8	2670	2162	1445	295917	0.648845670745	0.400609914039
AA	k17_Linf	0.25	0.25	2	3521	479	423	297771	0.892748456066	0.468957819406
AA	k17_Linf	0.25	0.25	8	3665	664	2943	294922	0.554630742212	0.815913478905
AA	k17_Linf	0.25	0.5	2	3808	479	423	297484	0.900023613802	0.468957819406
AA	k17_Linf	0.25	0.5	8	4214	631	2976	294373	0.586091786007	0.825062355834
AA	k17_Linf	0.5	0.1	2	2816	479	423	298476	0.869404110238	0.468957819406
AA	k17_Linf	0.5	0.1	8	2670	2162	1445	295917	0.648845670745	0.400609914039
AA	k17_Linf	0.5	0.25	2	3521	479	423	297771	0.892748456066	0.468957819406
AA	k17_Linf	0.5	0.25	8	3665	664	2943	294922	0.554630742212	0.815913478905
AA	k17_Linf	0.5	0.5	2	3808	479	423	297484	0.900023613802	0.468957819406
AA	k17_Linf	0.5	0.5	8	4214	631	2976	294373	0.586091786007	0.825062355834
AA	k5_L30	0.1	0.1	3	3925	543	809	296917	0.829108558743	0.598372736807
AA	k5_L30	0.1	0.1	4	3886	419	1385	296504	0.737241496163	0.767738316644
AA	k5_L30	0.1	0.1	16	3424	1896	5318	291556	0.391672381701	0.73717769979
AA	k5_L30	0.1	0.25	3	4161	541	811	296681	0.836886547931	0.599852026638
AA	k5_L30	0.1	0.25	4	4198	419	1385	296192	0.751925474621	0.767738316644
AA	k5_L30	0.1	0.25	16	4171	1832	5382	290809	0.436616765031	0.746049338147
AA	k5_L30	0.1	0.5	3	4161	541	811	296681	0.836886547931	0.599852026638
AA	k5_L30	0.1	0.5	4	4198	419	1385	296192	0.751925474621	0.767738316644
AA	k5_L30	0.1	0.5	16	4186	1832	5382	290794	0.437499995427	0.746049338147
AA	k5_L30	0.25	0.1	3	4191	543	809	296651	0.838199983236	0.598372736807
AA	k5_L30	0.25	0.1	4	4035	419	1385	296355	0.744464930914	0.767738316644
AA	k5_L30	0.25	0.1	16	3696	1896	5318	291284	0.410028839472	0.73717769979
AA	k5_L30	0.25	0.25	3	5148	541	811	295694	0.863903324989	0.599852026638
AA	k5_L30	0.25	0.25	4	4915	419	1385	295475	0.780158717775	0.767738316644
AA	k5_L30	0.25	0.25	16	4913	1832	5382	290067	0.477221947769	0.746049338147
